center_id,meal_id,alpha
10,1062,0.36997416609211814
10,1109,0.04695422583511258
10,1198,0.18207395277612423
10,1207,0.8827347974934436
10,1216,0.023600430044523675
10,1230,0.6558650104234179
10,1247,0.1451771408480146
10,1248,0.6777579733174061
10,1311,0.3637757498199612
10,1438,0.32793784129702236
10,1445,0.024081732207043675
10,1525,0.13876410041537343
10,1543,0.13990507480838435
10,1558,0.07236412359086646
10,1571,0.22981057414217873
10,1727,0.0016953631611816167
10,1754,0.11777611405855846
10,1770,0.019372473483194087
10,1778,0.44832094311625736
10,1803,0.24528507982355474
10,1847,0.22589990605058155
10,1878,0.2067984470535067
10,1885,0.3215847020406171
10,1902,0.039020554733092586
10,1962,0.022256702108956947
10,1971,0.30035181860272614
10,1993,0.4803485533926856
10,2126,0.16080338510930064
10,2139,0.290753670853673
10,2290,0.14900988200170712
10,2304,0.4497257069551582
10,2306,0.630127793498402
10,2322,0.9542688141263896
10,2444,0.09758066386715984
10,2490,0.5415045587710816
10,2492,0.4332968901998809
10,2494,0.08669345530354049
10,2539,0.3638804290664807
10,2569,0.07670661492982657
10,2577,0.16839484737485824
10,2581,0.023516499846371757
10,2631,0.5930172025756959
10,2640,0.19774468262206069
10,2664,0.06645360770381539
10,2704,0.8996694398362541
10,2707,0.14141516927667802
10,2760,0.7307160929820198
10,2826,0.10092372220225818
10,2867,0.058679486950568585
10,2956,0.28342782698014063
11,1062,0.4201014088240932
11,1109,0.00807505227273406
11,1198,0.3131036411532251
11,1207,0.8369741403765579
11,1216,0.2519780094202698
11,1230,0.6895012465477263
11,1247,0.08134055867329013
11,1248,0.3814753550093406
11,1311,0.24264948544007914
11,1438,0.13410633940293448
11,1445,0.0692700780220411
11,1525,0.9893959933501176
11,1543,0.4389945260413366
11,1558,0.17935602101735962
11,1571,0.36249190348617805
11,1727,0.05061506108852649
11,1754,0.315700738161358
11,1770,0.00010596026490045049
11,1778,0.5383323147696463
11,1803,0.21722628532016924
11,1847,0.07399392109249027
11,1878,0.541327302875251
11,1885,0.5111885437141995
11,1902,0.270673345841193
11,1962,0.09944145167630439
11,1971,0.6027719057376412
11,1993,0.5470405687119055
11,2126,0.20399819578210307
11,2139,0.12581487972726185
11,2290,0.12313485324907429
11,2304,0.3729917656996411
11,2306,0.5003793623823899
11,2322,0.7483600033165607
11,2444,0.027962525801642227
11,2490,0.7164913324973994
11,2492,0.576053237042363
11,2494,0.1177123420768027
11,2539,0.4528368198172183
11,2569,0.10982800768532698
11,2577,0.39767797610434025
11,2581,0.18870525096763102
11,2631,0.5743217186770126
11,2640,0.2075900825724545
11,2664,0.10442042614921669
11,2704,0.9780157273450852
11,2707,0.13997602259887176
11,2760,0.8249433730109356
11,2826,0.07710647255760583
11,2867,0.05105779121670406
11,2956,0.11570340401479069
13,1062,0.32477210322992595
13,1109,0.022940972751659457
13,1198,0.1410681171530837
13,1207,0.6434470130127445
13,1216,0.45919971306105484
13,1230,0.5543462243450407
13,1247,0.07470555984867605
13,1248,0.2018413781226812
13,1311,0.32685224428441184
13,1438,0.5628019617904312
13,1445,0.04943068640696971
13,1525,0.637045912887345
13,1543,0.530426884808345
13,1558,0.15781383808684535
13,1571,0.43278084704798603
13,1727,0.008304558776036053
13,1754,0.1422824925182884
13,1770,0.07681760954642465
13,1778,0.047242677366734494
13,1803,0.38038778817336627
13,1847,0.44229250748238036
13,1878,0.21879539479627472
13,1885,0.4437456962695498
13,1902,0.0487163461373379
13,1962,0.10071136813876033
13,1971,0.10983430240705482
13,1993,0.456205687615484
13,2126,0.007818484094070545
13,2139,0.16347690246330268
13,2290,0.13160377896387795
13,2304,0.14090782675902858
13,2306,0.6739395553008372
13,2322,0.6025862423762687
13,2444,0.07879274416207499
13,2490,0.5721638622609756
13,2492,0.5489099403406195
13,2494,0.24904394465875432
13,2539,0.2568927750127414
13,2569,0.07948272597335451
13,2577,0.2896424138487421
13,2581,0.028662283206729394
13,2631,0.31209721469522855
13,2640,0.38130413254783563
13,2664,0.041083419201714745
13,2704,0.5267141676405024
13,2707,0.08697333336641418
13,2760,0.9685190984432114
13,2826,0.0421464572456813
13,2867,0.0927067899102582
13,2956,0.23410234712994085
14,1062,0.07732429069947135
14,1109,0.02910242511032988
14,1198,0.18765237839796575
14,1207,0.7744985339534987
14,1216,0.11158533661114556
14,1230,0.6993825877730413
14,1247,0.08216576328528474
14,1248,0.15993382331375763
14,1311,0.20819535091243035
14,1438,0.2533716897960158
14,1445,0.00010596026490045049
14,1525,0.09734798555467714
14,1543,0.00010596026490045049
14,1558,0.0354638060076859
14,1571,0.10088647340710366
14,1727,0.0243602683321769
14,1754,0.22301571780050472
14,1770,0.39647110249458895
14,1778,0.3935589613355593
14,1803,0.12109925571399525
14,1847,0.13073544704576107
14,1878,0.15360274033786253
14,1885,0.3020493787975664
14,1902,0.1537876636270493
14,1962,0.09288141379052964
14,1971,0.2607083239035833
14,1993,0.2696048278380863
14,2126,0.0495225901563
14,2139,0.14625695086331442
14,2290,0.12488147889769317
14,2304,0.1602535770843612
14,2306,0.5828650240334616
14,2322,0.9999946924866709
14,2444,0.041043254342008915
14,2490,0.2755224377944658
14,2492,0.21154270174688414
14,2494,0.2090982212567589
14,2539,0.14028351633251324
14,2569,0.5975749191508054
14,2577,0.1508839645380897
14,2581,0.5596425611284156
14,2631,0.3562564521813833
14,2640,0.945321124065569
14,2664,0.08767352977880173
14,2704,0.12288289997960496
14,2707,0.00010596026490045049
14,2760,0.3092360016171472
14,2826,0.10974252046448467
14,2867,0.13926964794605157
17,1062,0.16302583160909076
17,1109,0.15395723724506233
17,1198,0.23641816944696248
17,1207,0.6113032369977294
